1.97306,0.10995
1.98571,0.10989
1.62348,0.09015
1.64978,0.08832
1.59565,0.08602
1.59524,0.08653
1.60200,0.08631
1.59960,0.08659
1.58302,0.09474
1.61355,0.08680
1.61168,0.08733
1.61869,0.08734
1.60625,0.08685
1.60737,0.08753
1.65005,0.08775
1.62747,0.09055
1.63000,0.08722
1.63966,0.08767
1.64439,0.08715
1.59042,0.08907
1.57436,0.08866
1.57459,0.08703
1.57711,0.08770
1.61881,0.08814
1.61649,0.08880
1.60926,0.08966
1.61319,0.08821
1.60609,0.08805
1.60786,0.08713
1.60548,0.08826
1.61332,0.08850
1.60712,0.08772
1.60633,0.08782
1.60629,0.08724
